%: table_doi: 10.17182/hepdata.68361.v1/t5
%: name: Table 5
%: description: QpPb CL1.

%: data_file: Table5.yaml
%: keyword reactions: P PB --> CHARGED X
%: keyword observables: DN/DPT
%: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence
%: $p_{T}$ (GeV/c),,,$Q_{pPb}$
%'$p_{T}$ (GeV/c)','$p_{T}$ (GeV/c) LOW','$p_{T}$ (GeV/c) HIGH','(0-5%)','stat +','stat -','sys +','sys -','sys,Common syst. unc. on TpA +','sys,Common syst. unc. on TpA -','sys,Common syst. unc. on Normalization +','sys,Common syst. unc. on Normalization -'
0.275,0.25,0.3,0.5506,0.0003,-0.0003,0.0448,-0.0448,0.034,-0.034,0.036,-0.036
0.32499999999999996,0.3,0.35,0.5592,0.0003,-0.0003,0.0478,-0.0478,0.034,-0.034,0.036,-0.036
0.375,0.35,0.4,0.5729,0.0003,-0.0003,0.0509,-0.0509,0.034,-0.034,0.036,-0.036
0.42500000000000004,0.4,0.45,0.5897,0.0003,-0.0003,0.0547,-0.0547,0.034,-0.034,0.036,-0.036
0.475,0.45,0.5,0.6109,0.0004,-0.0004,0.0563,-0.0563,0.034,-0.034,0.036,-0.036
0.525,0.5,0.55,0.6346,0.0004,-0.0004,0.0574,-0.0574,0.034,-0.034,0.036,-0.036
0.575,0.55,0.6,0.6591,0.0004,-0.0004,0.0583,-0.0583,0.034,-0.034,0.036,-0.036
0.625,0.6,0.65,0.6851,0.0005,-0.0005,0.0587,-0.0587,0.034,-0.034,0.036,-0.036
0.675,0.65,0.7,0.7104,0.0005,-0.0005,0.0607,-0.0607,0.034,-0.034,0.036,-0.036
0.725,0.7,0.75,0.7373,0.0006,-0.0006,0.0628,-0.0628,0.034,-0.034,0.036,-0.036
0.775,0.75,0.8,0.7643,0.0006,-0.0006,0.0649,-0.0649,0.034,-0.034,0.036,-0.036
0.825,0.8,0.85,0.7913,0.0007,-0.0007,0.0669,-0.0669,0.034,-0.034,0.036,-0.036
0.875,0.85,0.9,0.8144,0.0008,-0.0008,0.0685,-0.0685,0.034,-0.034,0.036,-0.036
0.925,0.9,0.95,0.8357,0.0008,-0.0008,0.07,-0.07,0.034,-0.034,0.036,-0.036
0.975,0.95,1.0,0.8584,0.0009,-0.0009,0.0717,-0.0717,0.034,-0.034,0.036,-0.036
1.05,1.0,1.1,0.8962,0.0007,-0.0007,0.075,-0.075,0.034,-0.034,0.036,-0.036
1.15,1.1,1.2,0.947,0.0008,-0.0008,0.0798,-0.0798,0.034,-0.034,0.036,-0.036
