#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
3.0994704548e+00  7.2919180663e-05  7.5068075995e-06  -1.1913448466e-03  3.3074457286e-03  2.3736434562e-02  1.5400366297e-02  3.3578484054e-03  2.3575893310e-03  -4.8236329256e-04  9.8531370022e-04  -6.6880461614e-04  4.7642419024e-04  -7.8459999610e-05  4.7594644828e-04  
3.1987084770e+00  5.0348334616e-05  5.8460169472e-06  -9.4836846948e-03  5.3690862416e-03  1.3995893625e-02  1.4059654548e-02  3.4489662836e-03  2.5221951466e-03  8.8758026802e-04  9.0575668315e-04  -1.0553625941e-04  5.7651163978e-04  3.7217367083e-04  5.5658154059e-04  
3.2926225579e+00  4.4390968080e-05  5.3617155044e-06  -1.0024591029e-02  5.1262379653e-03  4.0486235537e-02  2.4966927781e-02  5.6992078293e-03  5.2163061032e-03  -1.5784487313e-04  1.0876308326e-03  5.4575660595e-04  9.7415661317e-04  1.3051630115e-04  5.5389878462e-04  
3.3995938692e+00  2.5876118372e-05  3.7727610952e-06  -5.8063506942e-03  4.6073588481e-03  1.2403887695e-02  1.4968464497e-02  -7.7230168208e-03  4.0752328361e-03  2.0758518607e-03  1.5456101461e-03  3.7924759774e-04  6.9300546151e-04  6.1045801609e-04  7.2364471179e-04  
3.5026226966e+00  2.2796672702e-05  3.4359955750e-06  -1.1836799944e-02  7.7444050358e-03  -2.7150393217e-02  2.2664288612e-02  4.2884330268e-03  4.7476594352e-03  -3.4208598908e-04  1.1697260697e-03  1.0202766403e-04  8.5000729089e-04  -3.3465393444e-04  8.1103241735e-04  
3.5989734816e+00  1.8802005161e-05  3.3999577992e-06  -3.0609645158e-03  4.9485026937e-03  4.1182349262e-03  1.5810112215e-02  1.7543870238e-03  4.1290459935e-03  8.5901243315e-04  1.3410578272e-03  -1.9712253460e-03  1.3334870304e-03  2.5124465887e-04  6.9407560063e-04  
3.6735550618e+00  6.2628956797e-06  1.5849366492e-06  -4.9170835106e-03  9.8787269075e-03  5.2110182175e-02  4.0623879234e-02  1.0256513499e-02  9.8346599710e-03  -5.6230109480e-04  5.2092081792e-03  5.3697886870e-04  8.9765307200e-04  -4.3263015699e-04  8.8070615614e-04  
3.7643523100e+00  3.5951957993e-07  3.5921373591e-07  1.9781561548e-02  2.1315505994e-02  1.2900358252e-01  1.4141843625e-01  4.3605139137e-02  4.6157795243e-02  8.8959689749e-03  9.5265468428e-03  6.0943795560e-03  6.5352298868e-03  -2.2611971621e-03  2.4047283175e-03  
3.9158547500e+00  6.9121989702e-07  4.8793433327e-07  -3.3638829953e-02  3.6746705498e-02  2.8353684695e-02  4.1158351198e-02  2.7612935016e-02  3.3983227578e-02  -5.2561767437e-03  4.3268099897e-03  -1.4426110112e-03  2.4278190573e-03  -2.5646976030e-03  3.5947165067e-03  
4.0220772650e+00  6.7296487418e-07  4.7504805434e-07  -9.2456862580e-03  7.6457720767e-03  1.4651337667e-01  1.2479153695e-01  1.4113215090e-02  1.1164013749e-02  -5.7606776470e-03  4.7840483873e-03  6.8161512177e-03  5.5973127492e-03  1.0688740989e-03  4.6985461753e-03  
