#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
3.0978124369e+00  3.6697542054e-04  3.5135221550e-05  -5.7387798743e-03  2.3031618954e-03  7.1643725919e-02  2.4724751010e-02  7.6013841529e-03  3.7874526178e-03  1.5562910484e-03  1.1453170315e-03  -8.9304003153e-04  8.0667603702e-04  5.6605985403e-04  5.4006814050e-04  
3.1956658730e+00  2.3715892443e-04  2.3113323493e-05  -8.0966346714e-03  3.4377495806e-03  6.5170402274e-02  2.1407176505e-02  8.8217606539e-03  4.6971630407e-03  2.4444096937e-03  1.6839038861e-03  -6.8955753631e-04  9.9772727526e-04  2.4634215253e-04  5.9307929188e-04  
3.2977214149e+00  1.9739853340e-04  2.0517664662e-05  -8.4610935245e-03  3.4934058583e-03  7.3534339598e-02  2.5717205849e-02  5.7461088857e-03  4.5341537979e-03  -3.9719590099e-04  1.3082341511e-03  -6.8768526730e-04  1.4995346094e-03  -5.9575100670e-04  6.9781115613e-04  
3.3993766277e+00  1.3854561018e-04  1.3962824750e-05  -9.5192955722e-03  3.3459075009e-03  4.5670047776e-02  2.6726016423e-02  1.3832384811e-04  4.3206023181e-03  4.1148758539e-03  2.6292944715e-03  -6.6085492163e-04  1.0276413631e-03  1.5940222464e-04  6.9583690312e-04  
3.4970363020e+00  1.0836042520e-04  1.2698525721e-05  -8.0661187303e-03  3.9616484249e-03  4.8416146575e-02  2.8104404531e-02  1.2484392904e-02  6.3445452093e-03  1.3449923900e-03  4.1747781053e-03  -1.8809378725e-03  1.7200311366e-03  -5.9702333498e-04  9.3863634866e-04  
3.5975512571e+00  7.9752017922e-05  9.6319357136e-06  -1.8871122838e-02  6.2783150607e-03  6.6943150386e-02  2.9443497095e-02  -4.9053345535e-03  6.7059480047e-03  3.2769032388e-04  2.4224411676e-03  -2.3741265697e-03  1.3158168265e-03  -3.5581488437e-04  9.9315066723e-04  
3.6809152695e+00  3.2722539148e-05  4.6146325547e-06  -1.1558501238e-02  5.9572081163e-03  1.2289410924e-01  3.8554368155e-02  1.5413740659e-02  1.2279178070e-02  -1.1358834529e-03  4.1193376152e-03  -2.9432306754e-04  2.8878708277e-03  -1.3024505853e-03  1.5849269206e-03  
3.7971270293e+00  9.9796592954e-06  2.0985229624e-06  5.9463205821e-03  9.1187788561e-03  1.7496753234e-01  7.0243902672e-02  1.2896456788e-02  2.3867155386e-02  1.0547346636e-02  6.1200929414e-03  3.6116111610e-03  3.4885456994e-03  2.0938895963e-03  2.4049107946e-03  
3.8867627068e+00  7.6603297317e-06  1.8152001027e-06  -2.2821965653e-02  1.6777759350e-02  -2.7374079309e-02  8.2106309138e-02  3.7010931904e-02  3.9459081138e-02  1.7333493287e-02  1.0308868452e-02  -3.3417476768e-03  4.4222375334e-03  -2.1753419558e-03  2.5989746165e-03  
3.9988319753e+00  5.7534530718e-06  1.6056576894e-06  -3.0176828353e-02  1.6376097602e-02  1.9174760122e-01  9.1698792423e-02  -2.3575447528e-02  3.2405866835e-02  -4.8976925932e-03  1.3507344707e-02  -7.3961140678e-03  3.1424350109e-03  -3.3744512218e-03  3.8458091316e-03  
