#First column: pT in GeV
#Other columns: dN/(2pi dy pT dpT) at midrapidity
#pT [ GeV ]      0-5%		  5-10%            10-20%           20-30%           30-40%           40-50%           50-60%
2.5984713262e+00 1.8689249259e-01 1.6277343525e-01 1.1754692670e-01 6.9465637842e-02 3.7980263540e-02 1.6078720979e-02 4.8433074386e-03
2.6981088593e+00 1.3980059176e-01 1.1663364755e-01 8.8704453528e-02 5.0679800785e-02 2.6162078824e-02 1.2868116956e-02 4.2168913731e-03
2.7982728409e+00 1.0279413416e-01 8.5230523680e-02 6.8157111629e-02 3.7509234724e-02 1.9903024776e-02 8.6181688842e-03 2.9620502890e-03
2.8970453105e+00 8.2625229777e-02 6.6242591820e-02 4.9016834553e-02 3.0196085375e-02 1.5482623492e-02 6.9858460560e-03 1.7022329493e-03
2.9974741722e+00 5.4972422877e-02 4.8754869797e-02 3.6477996761e-02 2.0999693331e-02 1.0861999205e-02 4.2859032415e-03 1.2226434849e-03
3.0970934736e+00 4.4536687443e-02 3.6886272716e-02 2.6818246021e-02 1.5859353424e-02 8.3635493387e-03 3.1174997539e-03 9.3848588716e-04
3.1978317630e+00 3.0259942544e-02 2.6291065634e-02 1.9744020460e-02 1.2077521804e-02 6.3776129252e-03 3.1198496240e-03 1.0384607116e-03
3.2984541171e+00 2.4479530387e-02 2.0814452656e-02 1.5701806280e-02 8.8809870310e-03 4.2126585794e-03 1.9910670062e-03 2.9294895120e-04
3.3993660728e+00 1.7728797222e-02 1.4580800958e-02 1.1960577145e-02 6.4962233675e-03 2.9390953935e-03 1.2779316349e-03 3.4969630294e-04
3.4974414824e+00 1.2711372298e-02 9.5390547458e-03 7.4002156435e-03 4.2809559112e-03 1.6369842449e-03 7.8891069793e-04 1.5498721266e-04
3.5981224097e+00 8.6696241266e-03 8.0784987426e-03 4.8985685615e-03 3.3305706821e-03 1.3858085986e-03 6.7783264423e-04 2.6763511768e-04
3.6921289778e+00 4.7991959225e-03 4.9435685071e-03 2.9643683949e-03 1.7855985319e-03 7.1745211061e-04 2.3085020986e-04 0.0000000000e+00
3.7975669017e+00 2.3469439886e-03 2.0652731064e-03 1.3951000307e-03 7.2659011571e-04 2.7980695743e-04 1.1114585093e-04 5.6727757563e-05
3.8980360898e+00 1.6059611259e-03 1.3612024516e-03 1.0606509589e-03 3.2658846036e-04 2.1789252825e-04 8.1774538467e-05 2.7693217230e-05
4.0014728784e+00 1.1932227053e-03 9.3886730466e-04 7.4360969563e-04 3.9783225391e-04 5.3148423739e-05 2.6805147600e-05 0.0000000000e+00
