#First column: pT in GeV
#Other columns: dN/(2pi dy pT dpT) at midrapidity
#pT [ GeV ]      0-5%		  5-10%            10-20%           20-30%           30-40%           40-50%           50-60%
1.8978959779e+00 2.6981791443e+00 2.2431257541e+00 1.6856839949e+00 1.0423301802e+00 5.8826347248e-01 2.8605022882e-01 1.1047134251e-01
1.9978550532e+00 1.9755338987e+00 1.6472058503e+00 1.2423158795e+00 7.6145160773e-01 4.2488449525e-01 2.1052446620e-01 7.9661954968e-02
2.0977520975e+00 1.4594720662e+00 1.2320673241e+00 9.2154818599e-01 5.7196298278e-01 3.2154130963e-01 1.5291238408e-01 5.1650249361e-02
2.1979796786e+00 1.0778418028e+00 9.0475162472e-01 6.8088258655e-01 4.1697086518e-01 2.3117893218e-01 1.0997130769e-01 3.9042365684e-02
2.2976206425e+00 8.0269451190e-01 6.7616836215e-01 4.9888369859e-01 3.0695051965e-01 1.6970464904e-01 7.7996045051e-02 2.8516170878e-02
2.3978302132e+00 5.9449487523e-01 5.0137488795e-01 3.7401243536e-01 2.2955984446e-01 1.1910448947e-01 5.6075043145e-02 1.8568394183e-02
2.4981683647e+00 4.4409178834e-01 3.7117913478e-01 2.7836842471e-01 1.6180888645e-01 8.8780214219e-02 4.1843035246e-02 1.3786354665e-02
2.5981402555e+00 3.3687407057e-01 2.7364224028e-01 2.0316256862e-01 1.2542153971e-01 6.4068137322e-02 3.1642318549e-02 9.2627761129e-03
2.6973724677e+00 2.4647810297e-01 2.1051181754e-01 1.5236964261e-01 9.4093103057e-02 5.1479421253e-02 2.2218660696e-02 5.9867467565e-03
2.7974147497e+00 1.8862118610e-01 1.5646862794e-01 1.1261254048e-01 7.2791962604e-02 3.5840994748e-02 1.5772266554e-02 5.3063590102e-03
2.8967230525e+00 1.3369487561e-01 1.1595137392e-01 8.7312867630e-02 4.9926575001e-02 2.7477491211e-02 1.1379244827e-02 3.4833646401e-03
2.9976283027e+00 1.0239989842e-01 8.6462939634e-02 6.1064080027e-02 3.8984906002e-02 1.8933895846e-02 8.9911739175e-03 2.0102540771e-03
3.0992619457e+00 7.9391011907e-02 6.3884216343e-02 4.8068314561e-02 3.1090195019e-02 1.4286032590e-02 6.8892108553e-03 1.9061490214e-03
3.1976875962e+00 5.8332650605e-02 4.8305195519e-02 3.3343429303e-02 2.2355455770e-02 1.0788130254e-02 5.2105040444e-03 1.1124735319e-03
3.2973011294e+00 4.4310250116e-02 3.6628161964e-02 2.7374640897e-02 1.6626118471e-02 8.9140581374e-03 3.5971386857e-03 8.8145490242e-04
3.3982521904e+00 3.2034697533e-02 2.5613217300e-02 1.8744705297e-02 1.1396439868e-02 5.9031773061e-03 2.9981844350e-03 6.9622425829e-04
3.4965028973e+00 2.3972982667e-02 1.9341885284e-02 1.4413076664e-02 9.7092419421e-03 4.3633436200e-03 2.3959699356e-03 5.5322221507e-04
3.5971187410e+00 1.8287982098e-02 1.4495701843e-02 9.5297477731e-03 7.0215833606e-03 3.3938466757e-03 1.4463196115e-03 3.8793596169e-04
3.6927749192e+00 1.2182653489e-02 8.4460601379e-03 6.7859185417e-03 3.9966931503e-03 1.9836255721e-03 6.6225896443e-04 2.9125854057e-04
3.7969759005e+00 7.1816486656e-03 6.3184868852e-03 3.6306044305e-03 3.0160542194e-03 1.5109353048e-03 4.4739731823e-04 1.9771309438e-04
3.8966175939e+00 5.7999024477e-03 4.4185388293e-03 3.0748586864e-03 2.2816304100e-03 6.7969775856e-04 3.8277038749e-04 1.0981973208e-04
4.0014826355e+00 4.3486232560e-03 3.5970271232e-03 2.7024861525e-03 1.5135247879e-03 6.6388985450e-04 3.7186143958e-04 5.3928516397e-05
