mu=pt/2;

    y_min     y_max        pt       direct     frag       sum
 -8.000E-01  8.000E-01  2.350E+01  7.438E+00  8.388E+00  1.583E+01
 -8.000E-01  8.000E-01  2.400E+01  6.701E+00  7.506E+00  1.421E+01
 -8.000E-01  8.000E-01  2.450E+01  6.047E+00  6.720E+00  1.277E+01
 -8.000E-01  8.000E-01  2.500E+01  5.469E+00  6.040E+00  1.151E+01
 -8.000E-01  8.000E-01  2.550E+01  4.956E+00  5.439E+00  1.040E+01
 -8.000E-01  8.000E-01  2.600E+01  4.498E+00  4.905E+00  9.404E+00
 -8.000E-01  8.000E-01  2.650E+01  4.090E+00  4.433E+00  8.523E+00
 -8.000E-01  8.000E-01  2.700E+01  3.725E+00  4.017E+00  7.742E+00
 -8.000E-01  8.000E-01  2.750E+01  3.398E+00  3.638E+00  7.036E+00
 -8.000E-01  8.000E-01  2.800E+01  3.104E+00  3.308E+00  6.411E+00
 -8.000E-01  8.000E-01  2.850E+01  2.840E+00  3.011E+00  5.851E+00
 -8.000E-01  8.000E-01  2.900E+01  2.602E+00  2.748E+00  5.350E+00
 -8.000E-01  8.000E-01  2.950E+01  2.387E+00  2.511E+00  4.898E+00
 -8.000E-01  8.000E-01  3.000E+01  2.193E+00  2.295E+00  4.488E+00
 -8.000E-01  8.000E-01  3.050E+01  2.017E+00  2.103E+00  4.120E+00
 -8.000E-01  8.000E-01  3.100E+01  1.858E+00  1.929E+00  3.788E+00
 -8.000E-01  8.000E-01  3.150E+01  1.713E+00  1.771E+00  3.485E+00
 -8.000E-01  8.000E-01  3.200E+01  1.582E+00  1.627E+00  3.209E+00
 -8.000E-01  8.000E-01  3.250E+01  1.462E+00  1.494E+00  2.956E+00
 -8.000E-01  8.000E-01  3.300E+01  1.353E+00  1.375E+00  2.728E+00
 -8.000E-01  8.000E-01  3.350E+01  1.253E+00  1.265E+00  2.518E+00
 -8.000E-01  8.000E-01  3.400E+01  1.162E+00  1.165E+00  2.327E+00
 -8.000E-01  8.000E-01  3.450E+01  1.079E+00  1.077E+00  2.156E+00
 -8.000E-01  8.000E-01  3.500E+01  1.002E+00  9.946E-01  1.997E+00

mu=2 pt:
 -8.000E-01  8.000E-01  1.500E+00  3.311E+05  4.686E+06  5.017E+06
 -8.000E-01  8.000E-01  2.000E+00  1.727E+05  1.415E+06  1.587E+06
 -8.000E-01  8.000E-01  2.500E+00  8.800E+04  5.358E+05  6.238E+05
 -8.000E-01  8.000E-01  3.000E+00  4.736E+04  2.383E+05  2.857E+05
 -8.000E-01  8.000E-01  3.500E+00  2.711E+04  1.191E+05  1.462E+05
 -8.000E-01  8.000E-01  4.000E+00  1.637E+04  6.419E+04  8.056E+04
 -8.000E-01  8.000E-01  4.500E+00  1.034E+04  3.709E+04  4.743E+04
 -8.000E-01  8.000E-01  5.000E+00  6.782E+03  2.269E+04  2.947E+04
 -8.000E-01  8.000E-01  5.500E+00  4.594E+03  1.431E+04  1.891E+04
 -8.000E-01  8.000E-01  6.000E+00  3.199E+03  9.415E+03  1.261E+04
 -8.000E-01  8.000E-01  6.500E+00  2.285E+03  6.379E+03  8.663E+03
 -8.000E-01  8.000E-01  7.000E+00  1.665E+03  4.447E+03  6.112E+03
 -8.000E-01  8.000E-01  7.500E+00  1.237E+03  3.183E+03  4.419E+03
 -8.000E-01  8.000E-01  8.000E+00  9.336E+02  2.324E+03  3.257E+03
 -8.000E-01  8.000E-01  8.500E+00  7.153E+02  1.734E+03  2.449E+03
 -8.000E-01  8.000E-01  9.000E+00  5.553E+02  1.301E+03  1.856E+03
 -8.000E-01  8.000E-01  9.500E+00  4.364E+02  9.918E+02  1.428E+03
 -8.000E-01  8.000E-01  1.000E+01  3.467E+02  7.635E+02  1.110E+03
 -8.000E-01  8.000E-01  1.050E+01  2.780E+02  5.966E+02  8.746E+02
 -8.000E-01  8.000E-01  1.100E+01  2.252E+02  4.718E+02  6.969E+02
 -8.000E-01  8.000E-01  1.150E+01  1.838E+02  3.763E+02  5.601E+02
 -8.000E-01  8.000E-01  1.200E+01  1.512E+02  3.029E+02  4.541E+02
 -8.000E-01  8.000E-01  1.250E+01  1.253E+02  2.461E+02  3.714E+02
 -8.000E-01  8.000E-01  1.300E+01  1.045E+02  2.017E+02  3.062E+02
 -8.000E-01  8.000E-01  1.350E+01  8.767E+01  1.665E+02  2.542E+02
 -8.000E-01  8.000E-01  1.400E+01  7.398E+01  1.383E+02  2.123E+02
 -8.000E-01  8.000E-01  1.450E+01  6.279E+01  1.157E+02  1.785E+02
 -8.000E-01  8.000E-01  1.500E+01  5.352E+01  9.731E+01  1.508E+02
 -8.000E-01  8.000E-01  1.550E+01  4.587E+01  8.254E+01  1.284E+02
